url,date_posted,location,type,qualification,position,minimum_experience,sector,workers,miscellaneous,skills,min_salary,max_salary,avg_salary,locations,qualifications,miscellaneouses
https://www.jobstreet.co.id/id/job/etl-developer-4400847?jobId=jobstreet-id-job-4400847&sectionRank=191&token=0~f9c2195a-79a4-42a7-b622-5b9d2412a9bc&fr=SRP%20Job%20Listing,2023-07-11,Jakarta Selatan,Penuh Waktu,Sarjana (S1),Pegawai (non-manajemen & non-supervisor),,Komputer/Teknik Informatika (Perangkat Lunak),201 - 500,"Senin - Jumat, Bisnis (contoh: Kemeja)","['IBM', 'IBM DataStage', 'IBM Information Analyzer', 'IBM IGC', 'IBM Infosphere', 'communication skills', 'english']",,,,['Jakarta Selatan'],['Sarjana (S1)'],"['Senin - Jumat', 'Bisnis (contoh: Kemeja)']"
https://www.jobstreet.co.id/id/job/data-engineer-4400331?jobId=jobstreet-id-job-4400331&sectionRank=202&token=0~f9c2195a-79a4-42a7-b622-5b9d2412a9bc&fr=SRP%20Job%20Listing,2023-07-11,Jakarta Raya,Penuh Waktu,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Pegawai (non-manajemen & non-supervisor),2,Konsultasi (Bisnis & Manajemen),51 - 200,"Tunjangan Pendidikan, Tip, Asuransi kesehatan, Senin - Jumat, Bisnis (contoh: Kemeja)","['SQL', 'T-SQL', 'SSIS', 'IBM', 'IBM DataStage', 'Talend Studio', 'DBMS', 'data warehousing', 'data analysis', 'fast learner', 'english']",,,,['Jakarta Raya'],"['Sertifikat Professional', 'D3 (Diploma)', 'D4 (Diploma)', 'Sarjana (S1)']","['Tunjangan Pendidikan', 'Tip', 'Asuransi kesehatan', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)']"
https://www.jobstreet.co.id/id/job/data-engineer-4398823?jobId=jobstreet-id-job-4398823&sectionRank=250&token=0~466aed41-aeb6-4024-9f35-2ffc173672a5&fr=SRP%20Job%20Listing,2023-07-10,Jakarta Raya,Penuh Waktu,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Pegawai (non-manajemen & non-supervisor),2,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",51 - 200,"Asuransi kesehatan, Senin - Jumat, Formil (contoh: Kemeja + Dasi)","['SQL', 'T-SQL', 'MySQL', 'PostgreSQL', 'Python', 'Java', 'Hadoop', 'Hive', 'Impala', 'OCI', 'Kafka', 'Sqoop', 'Spark', 'DBMS', 'data visualization', 'Tableau', 'Google Analytics']",,,,['Jakarta Raya'],"['Sertifikat Professional', 'D3 (Diploma)', 'D4 (Diploma)', 'Sarjana (S1)', 'Diploma Pascasarjana', 'Gelar Professional', 'Magister (S2)']","['Asuransi kesehatan', 'Senin - Jumat', 'Formil (contoh: Kemeja + Dasi)']"
https://www.jobstreet.co.id/id/job/data-engineer-4398756?jobId=jobstreet-id-job-4398756&sectionRank=253&token=0~466aed41-aeb6-4024-9f35-2ffc173672a5&fr=SRP%20Job%20Listing,2023-07-10,Jakarta Utara,Penuh Waktu,Sarjana (S1),Supervisor/Koordinator,2,Transportasi/Logistik,501 - 1000,"Asuransi kesehatan, Senin - Jumat, Formil (contoh: Kemeja + Dasi)","['SQL', 'T-SQL', 'MySQL', 'PostgreSQL', 'NoSQL', 'Cassandra', 'coding', 'Python', 'Java', 'Go', 'Hadoop', 'AWS', 'AWS MQTT', 'GCP', 'Google BigQuery', 'Google Dataflow', 'Google Pub/Sub', 'Google Cloud Composer', 'shell scripting', 'Linux', 'Kafka', 'Spark', 'Redis', 'DBMS']",,,,['Jakarta Utara'],['Sarjana (S1)'],"['Asuransi kesehatan', 'Senin - Jumat', 'Formil (contoh: Kemeja + Dasi)']"
https://www.jobstreet.co.id/id/job/data-engineer-etl-developer-4398697?jobId=jobstreet-id-job-4398697&sectionRank=256&token=0~466aed41-aeb6-4024-9f35-2ffc173672a5&fr=SRP%20Job%20Listing,2023-07-10,Jakarta Raya,Penuh Waktu,Sarjana (S1),Pegawai (non-manajemen & non-supervisor),3,Umum & Grosir,51 - 200,"Asuransi Gigi, Asuransi kesehatan, Senin - Jumat, Kasual (contoh: Kaos), BPJS","['SQL', 'T-SQL', 'SSIS', 'NoSQL', 'Python', 'Hadoop', 'IBM', 'IBM DataStage', 'IBM Infosphere', 'Kafka', 'Spark', 'DBMS', 'data warehousing', 'data mart', 'data visualization', 'CDC', 'good attitude', 'communication skills', 'problem-solving skills', 'english']",,,,['Jakarta Raya'],['Sarjana (S1)'],"['Asuransi Gigi', 'Asuransi kesehatan', 'Senin - Jumat', 'Kasual (contoh: Kaos)', 'BPJS']"
https://www.jobstreet.co.id/id/job/data-engineer-etl-developer-4398691?jobId=jobstreet-id-job-4398691&sectionRank=257&token=0~466aed41-aeb6-4024-9f35-2ffc173672a5&fr=SRP%20Job%20Listing,2023-07-10,Jakarta Raya,Penuh Waktu,Sarjana (S1),Pegawai (non-manajemen & non-supervisor),3,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",201 - 500,"Asuransi Gigi, Tunjangan Pendidikan, Tip, Asuransi kesehatan, Pinjaman, Senin - Jumat, Bisnis (contoh: Kemeja), BPJS, Bonus","['SQL', 'T-SQL', 'SSIS', 'coding', 'Python', 'IBM', 'IBM DataStage', 'Airflow', 'DBMS', 'data warehousing', 'data modeling', 'data visualization', 'good attitude', 'communication skills', 'problem-solving skills', 'english']",,,,['Jakarta Raya'],['Sarjana (S1)'],"['Asuransi Gigi', 'Tunjangan Pendidikan', 'Tip', 'Asuransi kesehatan', 'Pinjaman', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)', 'BPJS', 'Bonus']"
https://www.jobstreet.co.id/id/job/associate-sql-dba-1036368442?jobId=jobstreet-id-job-1036368442&sectionRank=284&token=0~1b7fc31a-d057-48c8-aedb-59e1fb9641c9&fr=SRP%20Job%20Listing,2023-07-09,Jakarta Raya,Penuh Waktu,,,,Komputer/Teknik Informatika (Perangkat Keras),51 - 200,"Asuransi kesehatan, Parkir, Penglihatan, Senin - Jumat, Bisnis (contoh: Kemeja), BPJS","['SQL', 'T-SQL', 'DBMS']",,,,['Jakarta Raya'],,"['Asuransi kesehatan', 'Parkir', 'Penglihatan', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)', 'BPJS']"
https://www.jobstreet.co.id/id/job/officer-specialist-data-engineer-1036368421?jobId=jobstreet-id-job-1036368421&sectionRank=295&token=0~1b7fc31a-d057-48c8-aedb-59e1fb9641c9&fr=SRP%20Job%20Listing,2023-07-09,,,,,,Perbankan/Pelayanan Keuangan,1001 - 2000,"Asuransi kesehatan, Senin - Jumat, Bisnis (contoh: Kemeja)",['DBMS'],,,,,,"['Asuransi kesehatan', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)']"
https://www.jobstreet.co.id/id/job/data-engineer-intern-1036359145?jobId=jobstreet-id-job-1036359145&sectionRank=305&token=0~77d4800b-9dfc-42d6-8f4c-f5fa11aefbcb&fr=SRP%20Job%20Listing,2023-07-07,Jakarta Selatan,,,,,Perbankan/Pelayanan Keuangan,1001 - 2000,"Asuransi kesehatan, Senin - Jumat, Kasual (contoh: Kaos), Birthday Leave","['coding', 'Microsoft Excel', 'data analysis', 'data visualization', 'problem-solving skills', 'independent worker', 'english']",,,,['Jakarta Selatan'],,"['Asuransi kesehatan', 'Senin - Jumat', 'Kasual (contoh: Kaos)', 'Birthday Leave']"
https://www.jobstreet.co.id/id/job/etl-developer-1036358568?jobId=jobstreet-id-job-1036358568&sectionRank=311&token=0~77d4800b-9dfc-42d6-8f4c-f5fa11aefbcb&fr=SRP%20Job%20Listing,2023-07-07,Jakarta Raya,,,,,Komputer/Teknik Informatika (Perangkat Lunak),201 - 500,"Senin - Jumat, Bisnis (contoh: Kemeja)","['IBM', 'IBM DataStage', 'IBM Quality Stage', 'IBM Information Analyzer', 'IBM IGC', 'IBM Infosphere', 'creative', 'english']",,,,['Jakarta Raya'],,"['Senin - Jumat', 'Bisnis (contoh: Kemeja)']"
https://www.jobstreet.co.id/id/job/data-engineer-4396640?jobId=jobstreet-id-job-4396640&sectionRank=330&token=0~77d4800b-9dfc-42d6-8f4c-f5fa11aefbcb&fr=SRP%20Job%20Listing,2023-07-07,Jakarta Raya,Kontrak,Sarjana (S1),Pegawai (non-manajemen & non-supervisor),3,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",1- 50,"Asuransi kesehatan, Senin - Jumat, Formil (contoh: Kemeja + Dasi)","['SQL', 'T-SQL', 'SSIS', 'Microsoft .NET Framework', 'Visual Basic', 'DBMS', 'data analysis', 'communication skills', 'problem-solving skills', 'able to work under pressure', 'proactive', 'english']",,,,['Jakarta Raya'],['Sarjana (S1)'],"['Asuransi kesehatan', 'Senin - Jumat', 'Formil (contoh: Kemeja + Dasi)']"
https://www.jobstreet.co.id/id/job/big-data-engineer-4395954?jobId=jobstreet-id-job-4395954&sectionRank=372&token=0~7d345555-a4eb-4816-b0a2-ac4f692bcc11&fr=SRP%20Job%20Listing,2023-07-06,Jakarta Raya,Penuh Waktu,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Pegawai (non-manajemen & non-supervisor),1,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",201 - 500,"Asuransi Gigi, Tip, Asuransi kesehatan, Parkir, Senin - Jumat, Bisnis (contoh: Kemeja)","['Python', 'Scala', 'shell scripting', 'Linux', 'data warehousing', 'data analysis', 'communication skills']",,,,['Jakarta Raya'],"['Sertifikat Professional', 'D3 (Diploma)', 'D4 (Diploma)', 'Sarjana (S1)', 'Diploma Pascasarjana', 'Gelar Professional', 'Magister (S2)']","['Asuransi Gigi', 'Tip', 'Asuransi kesehatan', 'Parkir', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)']"
https://www.jobstreet.co.id/id/job/database-engineer-4395480?jobId=jobstreet-id-job-4395480&sectionRank=377&token=0~7d345555-a4eb-4816-b0a2-ac4f692bcc11&fr=SRP%20Job%20Listing,2023-07-06,Jakarta Raya,Penuh Waktu,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Supervisor/Koordinator,3,Perbankan/Pelayanan Keuangan,Lebih dari 5000,"Asuransi kesehatan, Senin - Jumat, Formil (contoh: Kemeja + Dasi)","['SQL', 'PostgreSQL', 'MariaDB', 'NoSQL', 'MongoDB', 'shell scripting', 'Linux', 'Windows', 'DBMS', 'data analysis', 'team player']",,,,['Jakarta Raya'],"['Sarjana (S1)', 'Diploma Pascasarjana', 'Gelar Professional', 'Magister (S2)']","['Asuransi kesehatan', 'Senin - Jumat', 'Formil (contoh: Kemeja + Dasi)']"
https://www.jobstreet.co.id/id/job/data-engineer-4395230?jobId=jobstreet-id-job-4395230&sectionRank=383&token=0~7d345555-a4eb-4816-b0a2-ac4f692bcc11&fr=SRP%20Job%20Listing,2023-07-06,Jakarta Selatan,Penuh Waktu,Sarjana (S1),Pegawai (non-manajemen & non-supervisor),5,Asuransi,501 - 1000,"Senin - Jumat, Bisnis (contoh: Kemeja)","['data warehousing', 'data analysis', 'data visualization']",,,,['Jakarta Selatan'],['Sarjana (S1)'],"['Senin - Jumat', 'Bisnis (contoh: Kemeja)']"
https://www.jobstreet.co.id/id/job/data-engineer-intern-1036341362?jobId=jobstreet-id-job-1036341362&sectionRank=402&token=0~245eb87a-8937-41db-a688-8c850b91ee9c&fr=SRP%20Job%20Listing,2023-07-05,Jakarta Raya,Penuh Waktu,,,,Perbankan/Pelayanan Keuangan,1001 - 2000,"Asuransi kesehatan, Senin - Jumat, Kasual (contoh: Kaos), Birthday Leave","['coding', 'Microsoft Excel', 'data analysis', 'data visualization', 'communication skills', 'problem-solving skills', 'independent worker', 'attention to detail', 'english']",,,,['Jakarta Raya'],,"['Asuransi kesehatan', 'Senin - Jumat', 'Kasual (contoh: Kaos)', 'Birthday Leave']"
https://www.jobstreet.co.id/id/job/etl-developer-1036340892?jobId=jobstreet-id-job-1036340892&sectionRank=406&token=0~245eb87a-8937-41db-a688-8c850b91ee9c&fr=SRP%20Job%20Listing,2023-07-05,Jakarta Raya,Penuh Waktu,,,,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",51 - 200,"Asuransi kesehatan, Senin - Jumat, THR, BPJS, Bisnis (contoh: Kemeja)","['SQL', 'T-SQL', 'SSIS', 'OCI', 'Talend Studio', 'Pentaho', 'DBMS', 'data analysis', 'Power BI', 'Tableau', 'communication skills', 'problem-solving skills', 'fast learner']",,,,['Jakarta Raya'],,"['Asuransi kesehatan', 'Senin - Jumat', 'THR', 'BPJS', 'Bisnis (contoh: Kemeja)']"
https://www.jobstreet.co.id/id/job/data-engineer-4393204?jobId=jobstreet-id-job-4393204&sectionRank=466&token=0~23ae355f-d8bc-40c3-a0e4-64b3992d8bd4&fr=SRP%20Job%20Listing,2023-07-04,Jakarta Pusat,Penuh Waktu,Sarjana (S1),Pegawai (non-manajemen & non-supervisor),2,Retail/Merchandise,201 - 500,"Tip, Asuransi kesehatan, Bisnis (contoh: Kemeja), 5 working Day","['SQL', 'T-SQL', 'SSIS', 'SSRS', 'Python', 'Java', 'C#', 'C++', 'Azure', 'Azure Data Factory', 'Azure Synapse', 'Azure Datalake', 'Azure DevOps', 'VCS', 'SCM', 'Git', 'DBMS', 'data warehousing', 'data analysis', 'data visualization']",12000000,18000000,15000000.0,['Jakarta Pusat'],['Sarjana (S1)'],"['Tip', 'Asuransi kesehatan', 'Bisnis (contoh: Kemeja)', '5 working Day']"
https://www.jobstreet.co.id/id/job/data-engineer-internship-1036321596?jobId=jobstreet-id-job-1036321596&sectionRank=503&token=0~8d54e79f-1b68-4256-90b6-b1c7abe478cd&fr=SRP%20Job%20Listing,2023-07-03,Jakarta Raya,Magang,,,,,,,"['SQL', 'T-SQL', 'SSAS', 'Python', 'R', 'Hadoop', 'data governance', 'DBMS', 'data analysis', 'Machine Learning', 'problem-solving skills', 'adaptable']",,,,['Jakarta Raya'],,
https://www.jobstreet.co.id/id/job/data-engineer-4390635?jobId=jobstreet-id-job-4390635&sectionRank=536&token=0~8e92b4a0-6181-4537-b7db-2003ef4fb4a6&fr=SRP%20Job%20Listing,2023-07-03,Jakarta Raya,Penuh Waktu,Sarjana (S1),Supervisor/Koordinator,1,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",1- 50,"Asuransi Gigi, Tip, Asuransi kesehatan, Senin - Jumat, Kasual (contoh: Kaos), Technical Certification, Meal Allowance, Transport Allowance","['SQL', 'NoSQL', 'coding', 'Python', 'Numpy', 'Pandas', 'Scikit-Learn', 'Matplotlib', 'Seaborn', 'Bokeh', 'Pytorch', 'Tensorflow', 'Java', 'Scala', 'Hadoop', 'Hive', 'Presto', 'AWS', 'AWS EC2', 'AWS S3', 'AWS Lambda', 'AWS Glue', 'AWS Sagemaker', 'AWS Step Function', 'Azure', 'GCP', 'containerization', 'Docker', 'VCS', 'SCM', 'Git', 'Kafka', 'Spark', 'DBMS', 'data visualization', 'Machine Learning']",10000000,20000000,15000000.0,['Jakarta Raya'],['Sarjana (S1)'],"['Asuransi Gigi', 'Tip', 'Asuransi kesehatan', 'Senin - Jumat', 'Kasual (contoh: Kaos)', 'Technical Certification', 'Meal Allowance', 'Transport Allowance']"
https://www.jobstreet.co.id/id/job/data-engineer-4390422?jobId=jobstreet-id-job-4390422&sectionRank=544&token=0~314ac49a-907e-4e85-adfc-2642a5fa8c3c&fr=SRP%20Job%20Listing,2023-07-03,Jakarta Pusat,Penuh Waktu,Sarjana (S1),Pegawai (non-manajemen & non-supervisor),2,Retail/Merchandise,201 - 500,"Tip, Asuransi kesehatan, Bisnis (contoh: Kemeja), 5 working Day","['SQL', 'T-SQL', 'SSIS', 'SSRS', 'Python', 'Java', 'C#', 'C++', 'Azure', 'Azure Data Factory', 'Azure Synapse', 'Azure Datalake', 'Azure DevOps', 'VCS', 'SCM', 'Git', 'DBMS', 'data warehousing', 'data analysis', 'data visualization']",12000000,18000000,15000000.0,['Jakarta Pusat'],['Sarjana (S1)'],"['Tip', 'Asuransi kesehatan', 'Bisnis (contoh: Kemeja)', '5 working Day']"
https://www.jobstreet.co.id/id/job/database-engineer-oracle-certified-4389236?jobId=jobstreet-id-job-4389236&sectionRank=563&token=0~314ac49a-907e-4e85-adfc-2642a5fa8c3c&fr=SRP%20Job%20Listing,2023-06-30,Jakarta Pusat,Penuh Waktu,Sarjana (S1),Pegawai (non-manajemen & non-supervisor),3,Komputer/Teknik Informatika (Perangkat Lunak),201 - 500,"Asuransi Gigi, Asuransi kesehatan, Parkir, Senin - Jumat, Bisnis (contoh: Kemeja)","['SQL', 'PL-SQL', 'coding', 'Java', 'OCI', 'shell scripting', 'Linux', 'Windows', 'DBMS', 'data analysis']",,,,['Jakarta Pusat'],['Sarjana (S1)'],"['Asuransi Gigi', 'Asuransi kesehatan', 'Parkir', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)']"
https://www.jobstreet.co.id/id/job/etl-developer-4376258?jobId=jobstreet-id-job-4376258&sectionRank=594&token=0~577b7e33-a3f3-4f58-880c-b93283dd6667&fr=SRP%20Job%20Listing,2023-06-28,Jakarta Raya,Penuh Waktu,Sarjana (S1),Pegawai (non-manajemen & non-supervisor),1,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",51 - 200,"Asuransi kesehatan, Senin - Jumat, THR, BPJS, Bisnis (contoh: Kemeja)","['SQL', 'Hadoop', 'Cloudera', 'IBM', 'IBM DataStage', 'OCI', 'Kafka', 'Spark', 'Talend Studio', 'Pentaho', 'DBMS', 'data warehousing', 'data analysis', 'EDW', 'communication skills', 'problem-solving skills', 'attention to detail', 'able to work under pressure']",,,,['Jakarta Raya'],['Sarjana (S1)'],"['Asuransi kesehatan', 'Senin - Jumat', 'THR', 'BPJS', 'Bisnis (contoh: Kemeja)']"
https://www.jobstreet.co.id/id/job/sql-database-engineer-4376864?jobId=jobstreet-id-job-4376864&sectionRank=601&token=0~acdeb924-42ae-4139-8184-902e4dcc52f7&fr=SRP%20Job%20Listing,2023-06-28,Jakarta Raya,Kontrak,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Pegawai (non-manajemen & non-supervisor),2,Konsultasi (Bisnis & Manajemen),201 - 500,"Asuransi kesehatan, Senin - Jumat, Bisnis (contoh: Kemeja)","['SQL', 'T-SQL', 'SSAS', 'SSIS', 'SSRS', 'coding', 'DBMS', 'data analysis', 'communication skills', 'team player', 'discipline', 'fast learner']",,,,['Jakarta Raya'],"['Sarjana (S1)', 'Diploma Pascasarjana', 'Gelar Professional', 'Magister (S2)']","['Asuransi kesehatan', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)']"
https://www.jobstreet.co.id/id/job/deputy-head-of-data-management-analytics-4387523?jobId=jobstreet-id-job-4387523&sectionRank=630&token=0~acdeb924-42ae-4139-8184-902e4dcc52f7&fr=SRP%20Job%20Listing,2023-06-28,Jakarta Raya,Penuh Waktu,Sarjana (S1),CEO/GM/Direktur/Manajer Senior,10,Konsultasi (Bisnis & Manajemen),51 - 200,"Tip, Asuransi kesehatan, Senin - Jumat, Bisnis (contoh: Kemeja), Jamsostek",['communication skills'],,,,['Jakarta Raya'],['Sarjana (S1)'],"['Tip', 'Asuransi kesehatan', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)', 'Jamsostek']"
